Testo;Sentence;DD;DI;DIL;Soliloquio/Flusso di coscienza;Note
Rovetta-Gerolamo_Ninnoli_1882.txt;"La sua biblioteca conteneva i migliori trattati di scherma e i codici più autorevoli della cavalleria; gli unici versi ch'egli sapesse a memoria eran quelli del Tasso, quando descrive il duello di Tancredi con Argante.

*
* *

Tutti i giorni, durante la guerra del 59, perchè la nostra è una storiella vecchia, egli, a sentirlo dire, voleva passare il confine, emigrare in Lombardia, correre in Piemonte, entrare nell'esercito, arruolarsi con Garibaldi.... e invece restava sempre fermo al di qua del Garda, non decidendosi mai al salto del Rubicone, brontolando con le sue amiche contro il Comitato segreto, che non sapeva cogliere il momento buono per farlo scappar via.";no;no;si;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Però, siccome egli tirava innanzi colle chiacchiere, i suoi amici a poco a poco cominciarono a non salutarlo e a non guardarlo più in faccia; le signore gli mandavano a casa, per deriderlo, dei soldatini di piombo e delle spaducce di legno, i monelli scrivevano il suo nome su per i muri, accompagnandolo con degli aggettivi pochissimo lusinghieri; e Domenico Ghegola, per paura di prendersi, una sera o l'altra, anche un paio di scapaccioni, a buon conto preparò le valigie, poi, appena firmata la pace di Villafranca, passò il confine col diretto, chiuso, tutto solo, in un coupé di prima classe, e andò difilato fino a Brescia, dove prese un quartierino in affitto e si fermò in esilio.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;A Brescia ci si trovò subito e molto bene.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Egli faceva sempre vita in mezzo agli ufficiali; andava con loro al caffè, al teatro, e al passeggio sul corso di Torre Lunga,";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Dava loro delle lezioni sul modo di battersi, di tirare, di stare a cavallo, e guardava i borghesi dall'alto al basso.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ma però, dopo qualche settimana, i suoi nuovi amici, vedendo ch'egli lasciava passare il tempo senza far nulla, lo consigliarono apertamente di arruolarsi in un reggimento per essere pronto al bisogno.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ghegola finse, in sulle prime, di accomodarsi volentieri a quel buon consiglio e di esitare soltanto nella scelta fra la cavalleria e i bersaglieri; ma poi, visto che ogni bel giuoco, anche quello del tentenna, non può durare un pezzo, allora, cominciò a rallentare la sua intrinsichezza cogli ufficiali, finchè uscì in certe proposizioni che lo fecero mettere al bando dell'esercito, tanto di quello a piedi che a cavallo.

*
* *

Ghegola era malcontento di Cavour, di Vittorio Emanuele e di Napoleone.... il piccolo! -";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Egli aveva dei grandi ideali, delle forti aspirazioni: le monarchie erano tutte compagne e avevano fatto il loro tempo;";no;no;si;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ghegola non sarebbe mai, ad ogni costo, il soldato di un re.;no;no;si;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Peuh!...;no;no;si;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"E agli avventori del Caffè del Duomo, dov'egli adesso consumava il suo tempo, sdottoreggiando di politica, ripeteva sempre, a proposito e a sproposito dei re, e senza mai stancarsi, il noto epigramma

Che cosa è re?...";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Di reo due terzi egli è,;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Anzi, per dire il vero,;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"La differenza è zero!

Occorrendo, per l'indipendenza del paese e per una volta tanto, avrebbe fatto un sacrificio alle proprie convinzioni e si sarebbe arruolato con Garibaldi; il quale, appunto in quei giorni, aveva sciolta la sua legione.";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ma quando, pochi mesi dopo,;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Garibaldi richiamò la gioventù italiana sotto le armi per la campagna delle Due Sicilie, il nostro esule rimase a Brescia scandalizzato e molto malcontento anche di Garibaldi, perchè, lo diceva Ghegola al Caffè del Duomo, cominciava a compromettere la causa.;no;si;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Il Duce dei Mille aveva cantato con un tono troppo alto Italia e Vittorio Emanuele; l'equivoco non poteva più essere mantenuto, era un caso di coscienza bello e buono: e Ghegola, che avrebbe sdilinquito per Casa Savoia se si fosse trattato di porre a rischio la pelle per la repubblica, questa volta si mostrò un repubblicano intransigente per non esporre la pancia in servizio della monarchia.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Con questo suo modo di agire, non occorre dirlo, in poco tempo egli s'era fatto prendere in uggia da tutti indistintamente, monarchici e repubblicani; ma ancora più degli altri ne avean piene le tasche i suoi stessi compaesani, i veneti, i quali dubitavano, e a torto, di poter sfigurare, perchè fra i tanti giovani animosi, coi quali aveano ingrossate le fila dell'esercito e dei volontari, era capitato pure dalle loro parti anche quel tanghero unto e bisunto di pomate e di profumi, colle gambe lunghe lunghe, la faccia bianca bianca, i capelli di stoppa, la barbettina rada.... e il cuor di coniglio.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Lo deridevano, lo prendevano in giro, lo tormentavano in mille modi.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ma Ghegola, di rimando, faceva l'incompreso, l'uomo superiore al pubblico flagello, e solamente quando la discussione si accendeva, ed egli, messo proprio fra l'uscio e il muro, non sapeva più che rispondere, allora tirava fuori i suoi paroloni da smargiasso e le sue arie da ammazzasette.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"In fondo in fondo però non gli dispiaceva punto di essere quasi sempre il centro delle conversazioni politiche del Caffè del Duomo; e questo passatempo, unito alla saccoccia rigonfia e ai conforti di una sartorella sana, fresca e sui diciott'anni, faceva sì ch'egli trovasse la vita abbastanza sopportabile, anche in terra d'esilio.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ghita, si chiamava così la sartorella, era una buona ragazza, e cominciò a volergli bene perchè Menico le fece credere di essere un cospiratore travestito, uno di quelli, tal e quale, come se ne vedono nell'Ernani.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Co' suoi paroloni le intronava la testa, e la poveretta non ne capiva un'acca, ma sbarrava tanto d'occhi quando sentiva il suo innamorato vantarsi di essere un martire dell'idea, un eroe dell'ombra, l'avanguardia del pensiero.;no;si;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ghegola, il birbaccione, abusava della sua influenza; colla Ghita faceva lo spaccamonti più che non lo facesse cogli altri.";no;no;si;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Assumeva un'aria terribile, un cipiglio da tiranno, e la spaventava in mille guise, qualche volta allungandole anche certe carezze che pesavano un po' troppo.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Era sempre la Ghita, in fin dei conti, che doveva scontare le canzonature inflitte al suo Menico dagli avventori del Caffè del Duomo.

*
* *

Però, tutte queste fortune e la bella vita che menava, furono presto intorbidite per quel suo viziaccio di parlar sempre ad alta voce e in modo che, quando c'era lui, si sapeva subito, da un punto all'altro del caffè.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Aveva una vocina sottile, ma rompeva i timpani come un campanello.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Per di più, pranzava di solito alla Fenice, dove c'era un vinetto di Gussago limpido come un rubino, che si faceva bere anche quando la sete era finita da un pezzo.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Si capisce dunque come Ghegola, tutt'altro che resistente alle seduzioni, fosse il dopo pranzo alticcio anzi che no, e ci vedesse di sera ancor più rosso che alla mattina.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"E fu di sera appunto, sorbendo il moka, quella volta che cominciò a tirarne giù, senza un motivo, di cotte e di crude, addosso ai piemontesi, ai monarchici ed ai fedifraghi; tanto che un giovinetto, il quale sedeva ad un tavolo vicino, stomacato da quella retorica balorda, si alzò d'un tratto e venne a gridargli sotto il muso che parlando in quel modo, il signore era un vigliacco!...""";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ghegola si levò in piedi, bianco come un panno di bucato, e colla voce strozzata sfidò l'impertinente a ripetergli l'ingiuria....;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;E quell'altro, prontissimo, non la ripetè una volta sola, come avea desiderato Ghegola, ma due, dandogli così la buona misura, e accompagnò le parole coll'atto di volergli allungare un man rovescio.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Era questi un giovinetto bresciano, tarchiato, bruno, dalla faccia ardita: un garibaldino, anzi un mazziniano per la pelle, ma che in que' giorni, contentandosi, come diceva lui, di fare una cosa alla volta, raccoglieva compagni per la spedizione dei Mille.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Dopo quel fatto un duello era inevitabile.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Certo credevano tutti, che Menico Ghegola non avrebbe mandato giù in santa pace un'offesa tanto grave; e Marino Aimoni, così si chiamava il provocatore, pregò in anticipazione due suoi amici perchè fossero pronti a rappresentarlo appena il Don Chisciotte lo avesse mandato a sfidare.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;In questo frattempo, attorno al tavolino dov'era seduto Ghegola, s'era fatto un silenzio sepolcrale.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Subito, appena l'Aimoni ebbe lanciato quell'insulto, tutti si aspettavano che Ghegola gli si buttasse addosso come una tigre inferocita.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Il pallor del volto l'avevan creduto, così in sulle prime, causato dall'ira, dal furore, non mai certo dalla paura; ma quando udirono quelle sue parole uscirgli dalla bocca balbettante, quando videro grosse gocce di sudore correr sulla sua fronte, e quella figura lunga allampanata scattar su ritta dalla sedia, non già per avventarsi sull'offensore, ma invece per tirarsi prudentemente indietro, allora capirono che in quell'eroe della retorica non c'era di vero altro che della gran paura.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Appena l'Aimoni ritornò tranquillamente al suo posto,;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Menico disse a chi lo circondava, ansando forte e ancora tremante, che era stato la vittima di un'aggressione bella e buona, e che quell'altro, per fare a lui quella partaccia, doveva essere o matto o ubbriaco; perchè, in fin dei conti, se avevano mandato al diavolo i tedeschi, era perchè ognuno voleva avere la libertà dei propri atti o per lo meno delle proprie opinioni.";no;si;si;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ghegola, si sa, dei tedeschi non ne aveva certo mandati al diavolo per detto e fatto suo; ma intanto anche lui aveva preso parte ai plebisciti!...";no;no;si;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Tuttavia quelle parole, biascicate col tono di volersi scusare, non ottennero, non solo alcuna adesione, ma nemmeno alcuna risposta dalla brigatella che gli stava seduta intorno.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Invece cominciarono l'un l'altro a guardarsi in viso; poi si alzarono senza dir motto, e si allontanarono tutti quatti quatti, salutandolo appena con un lieve cenno del capo.
* * *
-";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Domattina lo manderò a sfidare e domani sera gli taglierò il muso - borbottava Ghegola fra i denti, ritornandosene tutto solo a casa sua. -;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Gli darò una di quelle lezioni da far epoca, e così insegnerò a lui e a tutti di non rompermi le tasche!...;si;no;no;si;
Rovetta-Gerolamo_Ninnoli_1882.txt;Del vigliacco a me!...;si;no;no;si;
Rovetta-Gerolamo_Ninnoli_1882.txt;Animale!...;si;no;no;si;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Non ha osato di toccarmi, però; che se mi avesse toccato, per Dio che si sarebbe preso una seggiola sui corni!";si;no;no;si;
Rovetta-Gerolamo_Ninnoli_1882.txt;Lo ammazzerò, voglio ammazzarlo come un cane! -;si;no;no;si;
Rovetta-Gerolamo_Ninnoli_1882.txt;E mentre Ghegola allungava il bastone e lo batteva contro il muro, quasi volesse far la prova d'infilzare l'Aimoni, colla testa combinava delle azioni che terminavano tutte con una botta terribile.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Giunto a casa, salì e si chiuse nel suo quartierino senza passare a salutar la padrona; entrò subito nella camera da letto e staccò una sciabola bene arrotata che aveva appesa al capezzale, e ch'egli chiamava, con gergo soldatesco, la sua madonna.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ma, ahimè, povero Ghegola! lo stridore che fece la spada nell'uscir dal fodero, e la vista di quella lama così lunga, così larga, con quelle due dita di punta, con quel filo che la faceva parere un gigantesco rasoio, gli fece correre un brivido per tutto il corpo.;no;no;si;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Se invece di colpire l'Aimoni con una stoccata, gli fallisse il colpo, e quell'altro forasse a lui il petto con un simile spadone?...;no;no;si;si;
Rovetta-Gerolamo_Ninnoli_1882.txt;Se gli spaccasse la testa?;no;no;si;si;
Rovetta-Gerolamo_Ninnoli_1882.txt;"A questa idea spaventosa Ghegola si chinò macchinalmente come per parare quel colpo, chè egli già, nella fantasia impaurita, sentiva il fischiar della sciabola attorno al capo.
-";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Che ghiribizzo era stato quello dell'Aimoni per insultarlo a quel modo? - pensava Ghegola rabbonito, mentre rimetteva prudentemente lo sciabolone nel fodero. -;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Che cosa doveva importare a quell'altro se lui voleva mo' la repubblica invece della monarchia!;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Appunto! fra i vantaggi della libertà non c'è quello anche di poter volere chi una cosa, chi un'altra a piacimento?;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Insultarlo a quel modo!...;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Dov'era la creanza.... e dov'era il patriottismo? perchè lui, alla fin fine,;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Domenico Ghegola, era un esule, sicuro, come Mazzini in Svizzera e Victor Hugo in.... in qualche altro luogo, e però aveva diritto a tutti i maggiori riguardi.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Lontano da' suoi, egli aveva rinunciato agli agi della vita, alle abitudini più care, ai cavalli, al cuoco, perfino alla comodità di far la doccia in casa, e tutto ciò per il suo paese; e l'Aimoni, quell'asino, invece di ammirarlo, gli diceva gratuitamente delle insolenze?!";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ma dunque per far ciò l'Aimoni doveva essere proprio, anche ammessa l'ubbriacatura, un poco di buono!;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Sicuro, egli si sentiva troppo superiore a quel becero e non lo avrebbe mai inalzato fino al suo livello, non gli avrebbe mai fatto l'onore di rilevare un insulto che partiva troppo dal basso per poterlo colpire.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Tutt'al più, quello che Menico poteva fare per l'Aimoni, era di dargli una lezione di generosità perdonandogli quell'offesa, se gli avesse mandato a chieder delle scuse.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Dopo tutto, non era stato toccato....;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Oh! se lo toccava anche con un dito appena, allora.... allora sarebbe stato un altro paio di maniche! -;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ghegola era di buona pasta, e quando ragionava per conto proprio, riusciva sempre a convincersi; ed anche quella sera, appena in letto, chiusi i bilanci, trovò tra il dare e l'avere, che il vigliacco era l'Aimoni, e che nel caso suo ci voleva certo più coraggio a non battersi. -";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Una sciabolata! - pensava, - mi fa proprio ridere una sciabolata.... È una scalfittura, un salasso.... la dài, la pigli, e dalla sera alla mattina tutto è scomparso.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ma la vera forza d'animo, il vero coraggio sta appunto nel non piegarsi davanti ad un mascalzone che t'insulta per avere da te una patente di gentiluomo.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Qui ti voglio! -;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;E Ghegola, siccome quel coraggio sentiva d'averlo, si addormentò convinto d'essere un eroe.... o poco meno.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ma egli cominciava appena a sognare, non si sa più bene se un bacio della Ghita o un pugno dell'Aimoni, quando fu svegliato di soprassalto da un battere precipitoso che facevano alla porta della camera.
-";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Chi è?...;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Indietro!...;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Chi è là? - gridò Ghegola, spalancando gli occhi, tutto spaventato.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Sono io, apri, fa presto! - rispose una voce al di fuori.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ghegola doveva conoscere quell'io, perchè, accesa una candela, si alzò subito, senza indugiare, e a piè nudi corse ad aprir l'uscio; poi, prima ancora che l'altro fosse entrato in camera, balzò daccapo nel letto, dove lo aspettò seduto.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Chi faceva quella visita a quell'ora ed in quel modo, era Gianni Foscarini, un bravo giovinetto, che avea guadagnate le spalline d'ufficiale combattendo a San Martino come un leone, e che in que' giorni aveva mandate al Ministero le proprie dimissioni, perchè voleva esser libero di andare con Garibaldi in Sicilia.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Era veneto anche lui e cugino di Menico, e non è a dire se ci soffrisse pel ridicolo che circondava il bollente Ghegola.
-";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Che cosa vuoi? - chiese Menico, un po' inquieto, a Gianni che s'era fermato a' piedi del letto.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Diavolo, m'hanno contata la scena di poco fa, e ho rotto il sonno della tua padrona di casa per farmi aprire e correr qui subito a mettermi a tua disposizione.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"A mia disposizione?
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Spero bene che un imbroglio simile lo lascerai sbrigare da me.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Sono tuo cugino, mi sta a cuore l'onor tuo, che è quello della nostra famiglia e, tu lo sai, sono abbastanza pratico di tali faccende.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Dunque di' su, contami com'è andata, dall'a alla zeta....
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Com'è andata?;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;O che non lo sai? di più io non ho nulla da contare.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Che l'Aimoni sia un mascalzone, anche questa è cosa nota, ergo non seccarmi, perchè io non sono venuto a Brescia per dare delle lezioni agli ineducati. -;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"E Ghegola, così dicendo, si allungò tutto sotto le coperte coll'aria di chi ha sonno e vuol dormire.
-";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Scusa, caro, ma, di lezioni, invece di darne mi pare che tu ne riceva!...
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Pare a te?...;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ebbene, così sia e felicissima notte! - e Menico si dimenò nel letto adagio adagio come per farsi la nicchia ancora più comoda.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"In quanto all'Aimoni, poi, ti so dir io ch'egli è tutt'altro che un mascalzone e che....
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Sta a vedere che m'hai rotto.... il sonno per venir qui adesso a farmi il panegirico di quel villano!
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Io sono venuto qui per sapere come intendi di riparare al tuo onore, dopo l'insulto che hai ricevuto.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Prima di tutto non capisco perchè tu voglia pigliartela così calda....
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Me la piglio calda, sissignore; me la piglio calda perchè tu sei mio cugino, me la piglio calda perchè l'onor tuo è anche l'onore della nostra famiglia, e in fine me la piglio calda perchè vedo te pigliartela troppo fredda!
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Allora ti dirò, in secondo luogo, che il mio onore non ha perduto nulla, e che ci perderebbe in un caso solo: qualora io mi degnassi di raccogliere le parolacce di un ubbriaco.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Foscarini aprì la bocca.... voleva rispondere, ma non fiatò.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Fissò invece suo cugino con un'occhiata così espressiva, che diceva molto più di quanto Ghegola avrebbe voluto intendere.
-";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Tu pensa ciò che vuoi - disse alla fine, non potendo a meno di sentirsi un po' impacciato sotto quello sguardo - ma in quanto a me non desisto e non desisterò mai dalla presa risoluzione.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ma crederanno che tu abbia paura.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Chi lo crederà?...;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Gl'imbecilli!...
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"No, perchè lo crederò anch'io!...
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ogni regola ha la sua eccezione.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Diranno che tu sei un vigliacco!...
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Che si provino un po'!...;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Menico tornò a sedersi sul letto, incrociando le braccia, con un piglio da guerriero.
-";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ma per l'amor di Dio, non te lo hanno detto e ripetuto sul muso anche due ore fa?
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Ed io....
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"E tu.... te lo sei lasciato dire!
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Perchè non ero ubbriaco, perchè non sono un mascalzone come quell'altro, perchè sono una persona educata!...
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Hai paura!...;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Hai paura di batterti!...;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Non trovarmi fuori delle scuse!...
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Sia pure.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Avrò paura.;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Tu sei padrone di credere quello che vuoi! -;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;E Ghegola si stirò di nuovo sotto le coperte, esprimendo la rassegnazione di chi si sa colpito dalla calunnia, ma che però, forte della propria coscienza, la sopporta tranquillo e sicuro.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Gianni capì che colle cattive non avrebbe ottenuto nulla da suo cugino, e allora, tanto per dire d'averle tentate tutte, volle provare a commuoverlo colle buone e si avvicinò, penetrando nella stretta, alla sponda del letto.
-";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Via.... sii ragionevole.... pensa che se tu non ti batti coll'Aimoni, sarai costretto a partire da Brescia....;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Nessuno de' tuoi conoscenti ti guarderà più in faccia.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Anderò a Modena.
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Vuoi andare a Modena?...;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Sta bene; ma e la gente?";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Non pensi che cosa dirà la gente di te?...
-";si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ebbene, tu dici che io non ho il coraggio di battermi, non è vero?;si;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;E io ti mostrerò che ho il coraggio, ancor più raro, d'infischiarmene dell'opinione pubblica, quando per ottenere i suoi applausi dovrei perdere il mio tempo e la mia dignità, dispensando dei brevetti di cavalleria: perchè, sai, l'Aimoni cerca d'avere uno scontro con me per far del rumore, e non per altro.;si;no;no;no;
