author,work,year,doc_id,text,DIL,DIL_Sonnet,DIL_gpt_5_2
Deledda_Grazia,Stella_d_oriente,1890.0,Deledda_Grazia-Stella_d_oriente-1890.txt,"Ma poco importava. Stella affascinava lo stesso e a donna Morella si faceva una strana osservazione. Per esempio, da circa dieci anni il suo salotto non si era mai più visto popolato a così tarda ora e da tanti amici!",yes,yes,yes
Deledda_Grazia,Stella_d_oriente,1890.0,Deledda_Grazia-Stella_d_oriente-1890.txt,"Nulla di anormale, come dicemmo più innanzi, solo ciò che Maurizio aveva predetto e che appunto per ciò non lo meravigliò. In verità, si sarebbe stupito di più se ciò non fosse accaduto. Egli amava Stella!",yes,yes,yes
Baratono,,,Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914.txt,"- La distribuzione della ricchezza è il secondo problema, che s'affaccia alla nostra mente. Si è proposto di concedere ad ogni individuo un'ugual porzione di cibi, di bevande, di abiti e d'oggetti di prima necessità. Ma vi par equo che un operaio, costretto al rude lavoro che irrobustisce e stimola con maggior violenza lo stomaco, abbia la razione di un impiegato, di un professionista, di qualsiasi persona, infine, cui la vita sedentaria e raccolta abbia tolto in parte l'appetito e i muscoli?",no,no,no
Campanile_Achille,Giovinotti_non_esageriamo,1929.0,Campanile_Achille-Giovinotti_non_esageriamo-1929.txt,"L’uomo che si stiracchiava sorrise:
“Vuote anche quelle” disse; “tutti a Roma, a veder la partita”.
* * * Quanto alla sala d’aspetto di prima e seconda classe, essa era illuminata con sfarzo e completamente deserta. Queste sale d’aspetto non servono a nulla.",yes,no,yes
Capuana,,,Capuana_Luigi-Il_Marchese_Di_Roccaverdina-1901.txt,"In ogni caso, basterà dare il nome, circondarsi di assessori di fiducia.» «Ho appena fiducia in me stesso», rispose il marchese. «Questa non se l'aspettava nessuno!",no,yes,no
De Amicis,,,De_Amicis_Edmondo-Cuore-1886.txt,"A un dato momento il capitano tentò di lanciare in mare una barca di salvamento: cinque marinai v'entrarono, la barca calò; ma l'onda la travolse, e due dei marinai s'annegarono, fra i quali l'italiano: gli altri a stento riuscirono a riafferrarsi alle corde e a risalire. Dopo questo i marinai medesimi perdettero ogni coraggio. Due ore dopo, il bastimento era già immerso nell'acqua fino all'altezza dei parasartie.",no,no,no
Baricelli,,,Baricelli_Carmela-I_Vinti_Ovvero_Il_Genio_Oppresso-1907.txt,"E se hai sofferto, Andrea, se dovrai soffrire un giorno, un anno, più anni, non ti sarà degno compenso questo grande amore degli uomini! - Sì Bianca il popolo è buono ma gl'individui son cattivi, spesso ingrati, e spesso ancora più stupidi, che cattivi: l'amore io non l'aspetto che da te; al mondo io do tutto, ma non chiedo nulla. Ciò detto, l'abbracciò teneramente, essa abbandonò, come la Psiche amorosa, il bel capo al bacio dell'amante e così allacciati sembravano entrambi bersi l'anima dagli occhi, tanto il loro grandissimo, verace amore compenetrava i loro esseri; quell'amore ch'è figlio della terra e dell'infinito; che sgorga possente dal mistero dello spirito e della vita, per unire due cuori pulsanti di vivido sangue, due anime e due intelligenze fatte di coscienza e di amore. Dopo un lungo tenerissimo bacio, a cui parevan far festa il cielo ed il mare, simpatizzanti nello stesso azzurro ineffabile, si volsero a guardar l'ammalato, quasi richiamati insieme ai doveri sacri dell'esistenza da una sola voce. - Domani starà meglio, disse Bianca ad Andrea, vedendolo oscurarsi in fronte. - Sì, aggiunse Andrea, e seguiremo il suo consiglio nevvero?",no,yes,no
Campanile_Achille,Giovinotti_non_esageriamo,1929.0,Campanile_Achille-Giovinotti_non_esageriamo-1929.txt,"Difatti, in quel momento arrivò il treno diretto a Roma: gli undici giocatori di Pontesullago e Joséphine vi saltarono su; si udì sbattere uno sportello; una gallinella accennò a fare coccodè; poi, una trombetta, seguita subito da un fischio breve della locomotiva, e il treno riparti, mentre una potente bastonata faceva trasalire Salomone, che, aggredito da sua moglie, sopraggiunta con un bastone nodoso, veniva trascinato nel paese in subbuglio.

XIX
Quanti furono quelli che partirono per assistere alla grande partita di calcio, nella quale la squadra di Pontesullago tentava di salvare dalla sedia elettrica gl’infelici banditi del pallone e di conquistare il campionato mondiale.



Passata la tempesta, Salomone s’era fatto paladino di una audace proposta:
“Andiamo tutti a Roma, per incoraggiare i nostri giocatori con le grida e gli applausi”. Temerario!",yes,yes,yes
De Roberto,,,De_Roberto_Federico-L'Imperio-1929.txt,"Ma io mi sono presto abituato ai costumi parlamentari, e non mi lascio intimorire. Non volevo parlare, da principio; chiesi la parola per rispondere a una certa bestia che credeva tutti ignoranti come lui; poi, parlando, sapete come succede, un'idea ne chiama un'altra, e naturalmente..."" ""Naturalmente!...",no,yes,no
Campanile_Achille,Giovinotti_non_esageriamo,1929.0,Campanile_Achille-Giovinotti_non_esageriamo-1929.txt,"In quella mezz’ora i due giovani sfogavano con frasi roventi la reciproca antipatia.
“Mascalzone,” disse lei “tu dunque mi detesti?”
“Sì,” fece Piffariello “quanto cuore umano può detestare.”
“Oh, come sono felice! Anch’io ti detesto.”
“Giuramelo.”
“Te lo giuro. Su quello che vuoi.”
“E quanto mi detesti,",no,yes,no
Negri_Ada,Le_Solitarie,1917.0,Negri_Ada-Le_Solitarie-1917.txt,"Comincia a far freddo, Chiudetevi bene nel mantello... e datemi un fiammifero, per favore.
  Accese un'altra sigaretta; e si rimise a fumare. L'ASSOLUTO
  Ci eravamo raccolte nel salottino terreno della piccola Pension, tipicamente svizzero nelle rivestiture di legno laccato salenti fino al soffitto e nella panciuta stufa di maiolica bianca, fregiata d'istoriette turchine.",no,yes,no
De Marchi,,,De_Marchi_Emilio-Arabella-1893.txt,"E aprì il cassetto del tavolo di cucina per trarne un comune coltello. La zia Colomba che gli teneva dietro, lo afferrò ai polsi e mettendogli il viso quasi sul viso, con un'espressione risoluta gli disse tre volte di no, con tre rapide scosse della testa: ""No, figliuolo, il coltello no: no"". Ferruccio si lasciò dolcemente disarmare.",no,no,no
Bandi,,,Bandi_Giuseppe-Da-Custoza-In-Croazia-Memorie-D-Un-Prigioniero-1866.txt,"… . Asciugai furtivamente una lagrima e calcai sugli occhi il keppy. Il quadrato si aperse e nuovamente s'avvicinò a noi il Colonnello, dicendo ci separassimo senza timore dai nostri feriti che nulla avevano da temere, e mandocci con Dio.",no,yes,no
Tenca,,,Tenca_Carlo-La_Ca_Dei_Cani-1840.txt,"Dicesi che l'armajuolo l'abbia ucciso.
- Ucciso, hai detto? E si ardisce qui, nella mia città, quando vi sono io, si ardisce di uccidere un cane?",no,yes,yes
Negri_Ada,Le_Solitarie,1917.0,Negri_Ada-Le_Solitarie-1917.txt,"Le sembrava un estraneo, che dovesse fra alcuni istanti svoltar l'angolo della via piú vicina, per non ritornare mai piú.
  Sparire: non morire. Cos'era la morte? Aveva paura, lei, della morte.",yes,yes,yes
Campiglio,,,Campiglio_Giovanni-Uberto_Visconti-1831.txt,"Che dico, anzi, non riuscirono a nulla? Il barbaro principe che pretendeva essere ne'suoi stati e Signore e Papa e divinità, quasi che que' due generosi frati avessero proferita un'eresia, loro destinò un rogo per letto, ed entrambi furono abbruciati. Tale era Bernabò Visconti, sotto il quale buona pezza rimase orba del suo pastore la Chiesa Milanese, poiché morto nel 1361 l'arcivescovo Roberto dal principe sì maltrattato come si è veduto, i due suoi successori, Guglielmo della Pusterla e Simone da Borsano, giammai non vennero ad occupare la sede sua, tanto poco sicura in tempi sì calamitosi; e solo dopo la rinunzia del secondo, nel 1376, potè venirvi Antonio de'Marchesi di Saluzzo, prima vescovo di Savona, avendo a ciò acconsentito , ad istanza del fratello , Bernabò.",no,yes,no
Bandi,,,Bandi_Giuseppe-Da-Custoza-In-Croazia-Memorie-D-Un-Prigioniero-1866.txt,"Scorsero pochi mesi e da Vienna fui mandato a Venezia. Cominciavano i primi moti del vostro risorgimento e per tutta Italia si gridava il nome del Papa come segnacolo di riscatto e di pace. Venezia m'apparve bella, e la vidi piena di popolo entusiasta e speranzoso.",no,no,no
Butti_Enrico_Annibale,L_incantesimo,1897.0,Butti_Enrico_Annibale-L_incantesimo-1897.txt,"E, rimanendo, come avrebbe egli potuto evitare ogni occasione di ritrovo con le signore Boris e specialmente con Flavia, che forse ora, desiderandolo, lo avrebbe cercato? ‒ E pure questo era necessario e doveroso: necessario per la sua pace e per il suo avvenire; doveroso verso la giovinetta, che poteva illudersi su le sue intenzioni e soffrire immeritatamente per la sua debolezza. Ma se la nonna o l'abitudine o la sorte lo avessero ricondotto presso di lei? Se si fosse trovato un'altra volta solo con lei in uno di quei momenti di tristezza e d'abbandono, in cui non si risponde dei proprii atti e delle proprie parole?",yes,yes,yes
Collodi_Carlo,Macchiette,1880.0,Collodi_Carlo-Macchiette-1880.txt,"Il povero Mario, confuso e sbalordito da tanta sfacciataggine, non sapendo più come difendersi, andò a prendere tremila lire, e consegnandole disse:
— Quando credi di potermele restituire?
— Questa è una cosa che riguarda me, e basta. Tu puoi insegnarmi il greco, il latino e magari anche le matematiche sublimi; ma graziaddio, non ho mai avuto bisogno di qualcuno, che venisse a insegnarmi a fare il galantuomo. XII
I ntanto passarono i giorni, le settimane, i semestri e l’annate, e del suo debito con Mario il barone non ne parlò più nè punto nè poco, come se invece di essere un debito suo, fosse stato un debito del viceré d’Egitto.",yes,yes,no
Carcano,,,Carcano_Giulio-Damiano-1850.txt,"Gli ripetè di volere spartir con lui l'ultimo pane, che, quanto a lui, anche storpio d'un braccio, avrebbe saputo guadagnarsi. Gli disse ch'era necessario e giusto parlare a ogni modo con quel prete che aveva veduto negli ultimi momenti il povero signor Lorenzo; e Damiano promise di farlo. Di là eransi incamminati alla piazza Fontana; e Rocco, scorgendo l'amico così spossato, così malinconico, l'aveva condotto a fatica nell'osteria del Biscione, per offerirgli un boccone, un po' di brodo o, meglio, un buon bicchier di vino.",no,yes,no
Bandi,,,Bandi_Giuseppe-Da-Custoza-In-Croazia-Memorie-D-Un-Prigioniero-1866.txt,"Scosse la testa gravemente frate Erminio e disse «credo aver immaginata la ragione di procedere siffatto. È cosa da non buttarsi dietro le spalle, tanto più che potrebbe dar luogo a qualche scandalo e turbar la pace vostra e del paese.» -  Però il Capitano Vallner è uomo ragionevole, e ci conosciamo da ragazzi. Appianerò subito questa faccenda.  -   Ed alzatosi, avvicinossi senza cerimonie alla tavola degli ufficiali che lo accolsero festosamente e vollero bevesse ad ogni costo della loro birra.",no,no,no
Dasti,,,Dasti_Luigi-La_Capanna_Del_Vaccaro_Vol1-1846.txt,"Carolina. Basta guardarti in viso per accertarsi, che
siete una buona, una eccellente Carolina !


i

Ah! io non mi dimenticherò più, di voi per tutta
la mia vita! Chi amando di rivolgersi per la
prima volta soavi parole dall'oggetto amato, im-
maginerà facilmente qual, fosse lo stato dell'anima
di Carolina in quell'istante.",no,no,no
Caracciolo,,,Caracciolo_Enrichetta-Misteri_Del_Chiostro_Napoletano-1864.txt,"«Ferdinando non ebbe delle bombe che per isterminare i suoi sudditi, non parole cortesi, che per i nemici d'Italia. Insolente nella prosperità, e quando, e con chi poté esserlo impunemente; precipitò nella pusillanimità, quando lo prese il pericolo alla gola. Gli Stati Uniti dimandarono indebite indennità, ed ei pagò; l'Inghilterra gl'impose leonine condizioni per gli zolfi, ed ei le segnò; il Piemonte volle la restituzione del «Cagliari» ed ei la fece; Talarico (perfino Talarico!)",no,no,no
Deledda_Grazia,Stella_d_oriente,1890.0,Deledda_Grazia-Stella_d_oriente-1890.txt,"Sin dal primo giorno del loro ritorno a Napoli avevano fatto il possibile per ritrovare almeno un indizio anche lieve di Stella, ma ahimè, non avevano scoperto nulla, assolutamente nulla…
I giorni, i mesi passavano e nessuna notizia della fanciulla veniva ancora. La marchesa, sperando sempre di ricevere qualche sua lettera, diceva quasi ogni giorno a Maurizio per confortarlo:
– Possibile sia tanto ingrata? No, sta pur certo, se non oggi domani Stella scriverà.",yes,yes,no
Deledda_Grazia,Stella_d_oriente,1890.0,Deledda_Grazia-Stella_d_oriente-1890.txt,"La rimise al suo posto, e ritiratosi nel suo studio lasciossi cadere su una sedia, stringendosi la testa in fiamme fra le mani e chiedendosi spiegazioni della fuga di Stella. Inutilmente! Egli non poteva darsene alcuna.",yes,no,yes
Dasti,,,Dasti_Luigi-La_Capanna_Del_Vaccaro_Vol1-1846.txt,"Egli con vera pena di spirito vedeva cambiarsi
l'antico sistema. Il solo nome di francesi era
capace di turbarlo; ora che li vedeva nella sua
bottega. sentivasi il fuoco nelle tasche. Egli non
sapeva poi immaginarsi come queli' ipocritone di
maestro Crispignano fosse cosi in relazione con
gente di tal fatta.",no,no,yes
Tenca,,,Tenca_Carlo-La_Ca_Dei_Cani-1840.txt,"Poltronacci traditori, sclamò il Duca, bel modo di guardare i miei cani! Ci vorrebbe ch'io vi facessi dar la corda, per servir d'esempio a tutti i gaglioffi pari vostri. Orsù, per ora resterete qui entrambi finchè non si sia rinvenuto il cane, o che abbiate sborsato i dodici fiorini d'oro.",no,no,no
Butti_Enrico_Annibale,L_incantesimo,1897.0,Butti_Enrico_Annibale-L_incantesimo-1897.txt,"Non è che un attimo. Ella si solleva ritta sul busto e rimane seria e immobile a osservarlo dall'alto con un'espressione dura e quasi ostile di penetrazione. Su la sua fronte, dove i capelli più brevi insorgono come i raggi d'un barbaro diadema, un pensiero cupo e profondo si disegna nella profondità delle rughe.",yes,no,no
Campanile_Achille,Giovinotti_non_esageriamo,1929.0,Campanile_Achille-Giovinotti_non_esageriamo-1929.txt,"Contrariamente a ogni logica previsione, quel lagaccio non pareva rallegrarsi di tali doni e di tante bellurie, e si manteneva tetro e imbronciato più che mai. Che diavolo gli era successo? Che aveva, in nome di Dio?",yes,no,yes
Capuana,,,Capuana_Luigi-Il_Marchese_Di_Roccaverdina-1901.txt,Egli non opponeva alle circostanze e alle impressioni sufficiente energia di resistenza. Non era dunque un Roccaverdina?... Ah!,yes,yes,yes
Negri_Ada,Le_Solitarie,1917.0,Negri_Ada-Le_Solitarie-1917.txt,"Con la Cappio e con Mina, due altre donne, Romualda ch'era senza figliuoli e Barbarella che non aveva nessuno, erano rimaste intorno all'inferma. Piú nulla ormai era vivo di lei, se non un palpito impercettibile.",no,no,no
Dandolo_Milly,Il_figlio_del_mio_dolore,1921.0,Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt,"Ella ripeteva col silenzio della bocca immobile, col palpito lento delle ciglia ombrose, ripeteva coll’anima la sua umile preghiera di scusa quando incontrava il passante dal viso fine che forse non riusciva a capire perchè mai sul viso della piccola amica le ciglia lunghe gettassero un’ombra mai veduta.
— Non sono io che voglio andarmene... Le pareva che la sua umile preghiera di scusa potesse avere una voce chiara e calda per lui che somigliava tanto al suo silenzio. Ma tutto restava come prima, tutto come era stato per tanto tempo.",yes,yes,yes
Cagna,,,Cagna_Achille_Giovanni-Un_Bel_Sogno-1871.txt,"Tu saresti stata la compagna di mia giovinezza, mia madre, la povera mia madre avrebbe benedetta in te una figlia. - Soli, lontani dal mondo, racchiusi nel nostro nido, avremmo trovata una felicità rara in terra. ""Sarebbe stato allora il mio compito di provvedere alla tua esistenza; avrei lavorato sino all'incredibile per procurarti tutti i comodi di una vita agiata. - Oh Laura, l'amore fa dei prodigi, ed io sento che con te sarei diventato grande. Qual dolce sogno, mio Dio!",no,yes,no
Collodi_Carlo,Macchiette,1880.0,Collodi_Carlo-Macchiette-1880.txt,"Il giorno dopo, all’ora fissata, uscì di casa per andare a vedere come stavano le finestre della signora Bita: ma non aveva fatto ancora quattro passi fuori della porta, che sentì gelarsi il sangue dalla paura. Lo sciagurato aveva veduto venirsi incontro un individuo, conosciutissimo in tutto il paese col soprannome di Uomo-colla, perchè era di quelli, che quando si attaccano addosso a qualcuno, non lo lasciano più! Iddio benedetto, appena ebbe creato la mosca, il tafano, l’esattore delle tasse e il principiante di violino, non parendogli di aver fatto abbastanza per la felicità del genere umano, volle creare anche l’Uomo-colla.",yes,yes,yes
Campanile_Achille,Giovinotti_non_esageriamo,1929.0,Campanile_Achille-Giovinotti_non_esageriamo-1929.txt,"Per sempre. Per sempre. E così, nel gran salone luminoso e addobbato, di tanta festa, di tanto chiasso, di tanta vita, non restarono che pochi pezzi di legno, qualche rotula d’acciaio e quattro occhi di vetro, fissi e attoniti, che fissavano l’Autore.
“È finito” mormorò questi, vedendosi solo.",yes,no,no
Dandolo_Milly,Il_figlio_del_mio_dolore,1921.0,Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt,"Estranei ed egoisti. S’accorse che aveva perduto tanto tempo in questi pensieri, e cominciò a moversi per la casa come tutto quel giorno, distrattamente. E s’accorse allora, per la prima volta, che non aveva niente da fare, e pensò quasi con irritazione che la sua vita era stupida.",yes,no,no
Butti_Enrico_Annibale,L_incantesimo,1897.0,Butti_Enrico_Annibale-L_incantesimo-1897.txt,"Quali? Egli non sapeva bene e non cercava di sapere. Egli aveva paura di inoltrarsi nel mistero del suo accasciamento; provava orrore solo a rivolgervi di sfuggita gli occhi dell'anima; evitava d'investigarsi, per la tema di precisare il fantasma, d'udire in fondo a sè l'eco d'una tremenda profezia.",yes,no,yes
Negri_Ada,Le_Solitarie,1917.0,Negri_Ada-Le_Solitarie-1917.txt,"La donnina biondetta, magretta, un po' incolore, ma soffusa d'una certa grazia fluida, si guardava nello specchio e si chiedeva: «Sono dunque cosí brutta, che nessuno mi ha desiderata, sinora?»
  Avrebbe vegetato cosí, sino alla vecchiaia? La casa: la serva: l'ometto nerastro tossicchiante su fasci di compiti e fitte pagine di volumi: le lunghe letture in solitudine: i ricami a punto inglese e qualche rara, modesta serata nel salotto della vicina del primo piano...
  Là, appunto, le era stato presentato l'uomo che pel primo le aveva detto: – Non ho mai visto un biondo cosí dolce come quello dei suoi capelli, signora.
  L'uomo che pel primo le aveva detto: – A nessuna donna ho tanto pensato nella mia vita, come a lei, signora.
  L'uomo che per primo e aveva dato un appuntamento: – Lunedí, alle tre. Si fidi, si fidi di me, signora.
  In piazza del Duomo poté, finalmente, balzare su un tram.",yes,yes,yes
Baratono,,,Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914.txt,"; un'altra voce, ma di uomo, chiese:  «Chi è?». Udì pure l'avvocato Umido, che gli mormorava all'orecchio:",no,yes,no
Dandolo_Milly,Il_figlio_del_mio_dolore,1921.0,Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt,"Benonì, il figlio del suo dolore. Se lo fece mettere vicino un momento, lo guardò, lo chiuse fra le sue braccia, piccolo, immobile, livido, morto. Nascendo, era morto; così si nasce, così si muore, qualche volta, nella vita.",yes,no,no
Deledda_Grazia,Stella_d_oriente,1890.0,Deledda_Grazia-Stella_d_oriente-1890.txt,"Ahimè! Ella non aveva trovato Stella! E Maurizio stava là, calmo, pensando forse alla fanciulla, alla loro felicità avvenire… Donna Anna pensò:
– Oh, che terribile colpo riceverà nel sapere la fuga di Stella!",yes,no,no
Rovetta,Gerolamo_Ninnoli_1882,,Rovetta-Gerolamo_Ninnoli_1882.txt,"Solo!... solo!... sempre solo!... Eppure.... eppure sì, un compagno, un amico lo aveva anche lui! A questo pensiero balzò con un impeto improvviso fuori dalle coperte e venne giù e guardò e cercò sotto il letto..., ma invano!",yes,yes,yes
Negri_Ada,Le_Solitarie,1917.0,Negri_Ada-Le_Solitarie-1917.txt,"Povera donna! Non poteva vincere, dentro di sé, la penosa impressione di essere, nella casa del suo primogenito, quasi una serva – certo una tollerata.
  Ma Leonardo, dal grosso borgo dove aveva ottenuto un posto di maestro comunale, le scriveva: «Pazienza, mammetta! Presto vivrai con noi!…
  …Noi.",yes,yes,yes
Chelli,,,Chelli_Gaetano_Carlo-Fabia-1876.txt,"Dunque, non sei più certo di scrivermi ogni giorno? Sta bene. Già, il peggio è passato nel primo ritardo.",no,no,yes
Negri_Ada,Le_Solitarie,1917.0,Negri_Ada-Le_Solitarie-1917.txt,"Qual era la vera Anna Longhena? La presente o la scomparsa?
  — Mamma! – chiamò, sottovoce.
  Silenzio. Immobilità.
  E riposo: riposo perfetto.
  Nessuno spettacolo Veronetta aveva veduto sino allora, che le sembrasse cosí grandioso.",yes,yes,yes
Rovetta,Gerolamo_Ninnoli_1882,,Rovetta-Gerolamo_Ninnoli_1882.txt,"Cattivo! cattivo che sei!.... Non capisci mo'che sopporto la corte degli altri per nascondere la tua? - E con questa scusa, che pare buona per la grazia con cui sa dirla,",yes,no,yes
Campanile_Achille,Giovinotti_non_esageriamo,1929.0,Campanile_Achille-Giovinotti_non_esageriamo-1929.txt,"Povera Joséphine! Perdurando l’incertezza sui proprii sentimenti, nei riguardi degli undici innamorati, la ragazza s’era fatta monaca. Bella come un chèrubo, era entrata in un chiostro, le bionde chiome costrette dalle candide bende del sacrificio.",yes,no,no
Negri_Ada,Le_Solitarie,1917.0,Negri_Ada-Le_Solitarie-1917.txt,"Ma la classe! i ragazzi! che peso, che catena, che galera! Rosanna, nella sua innocente semplicità, avrebbe voluto accogliere, fra materne carezzevoli braccia, quei ragazzi e quelle bambine che, per lei, erano senza maestra. Ah, ne avrebbe trovato, dell'amore, anche per loro!",yes,yes,yes
Collodi_Carlo,Macchiette,1880.0,Collodi_Carlo-Macchiette-1880.txt,"Veduta in toeletta da mattina, pareva una cavalla inglese, da corsa, ritta sulle gambe di dietro. Portava sulle spalle una cinquantina di primavere… e nemmeno un fiore: voce baritonale, gesto eroico: un occhio solo, quello diritto: il mancino era chiuso da una tendina di seta verde, per causa di riparazione: capelli e barba grigia: e un paio di baffi, che la rendevano sacra e inviolabile come un articolo dello Statuto. Era stata sempre vedova — ed aveva una figlia di nome Vittorina.",yes,yes,no
