Testo;Sentence;DD;DI;DIL;Soliloquio/Flusso di coscienza;Note
Deledda_Grazia-Stella_d_oriente-1890.txt;Vengo quasi ogni giorno alla villa per portarci pesce.;si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Donna Anna guardò il marchese: il marchese guardava Stella con stupore: nella cintura della piccina vedeva un pugnaletto!;;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Stella sorrise e traendo da un vecchio portafogli una carta ripiegata disse: – Ecco, ho il porto d’arma!;si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Nella barca ho anche il fucile!
– Ma quanti anni hai? – domandò la marchesa.
– Dodici!";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;La conversazione era esaurita. – Anna – chiese Don Francesco – vogliamo andare ad Anglona?;si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Si fa tardi.
– Sì!";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Vuoi venire con noi,;si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Stella?
– Scusino, mi è impossibile: ho da preparare i miei attrezzi…
Donna Anna le mise in mano una moneta, ma Stella arrossì e la respinse mormorando: – Grazie!";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Non ho bisogno di nulla! – Ma la marchesa, guardandole l’abito lacero insisté:
– Ci porterai del pesce.
– Mi pagherà allora… – rispose.";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Si faceva tardi davvero.;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Donna Anna rimise la moneta pensando di comprare ad Anglona qualche cosa per la sua nuova conoscenza, e s’allontanò col marchese dopo averla abbracciata.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Scesero nella barca.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Il marchese remava malissimo e Donna Anna si sarebbe sconvolta se non fosse stata in contemplazione di Stella rimessasi a lavorare sulla riva.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Pensava più ad essa che alla cugina malata: anche il marchese pareva distratto.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"A un tratto Donna Anna esclamò: – Se raccogliessimo quella bambina?
– Raccogliamola! – rispose Don Francesco automaticamente.";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;E ricadde nei suoi pensieri.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"III
Quando, finita la visita, tornarono sull’Agri, grandi nuvole nere a sfumature di un rosso splendente proiettavano una luce strana come riflesso di fiamme, coprivano intieramente il cielo.";no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Il tuono brontolava in lontananza e il caldo, nonostante la tarda ora, era asfissiante.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Don Francesco ebbe come un presentimento e fece ridere la marchesa quando le propose di restare ad Anglona.
– Che pazzie! – disse – Non pioverà no, perché quasi ogni sera in questi giorni il cielo s’annuvola, ma poi rasserenasi al levarsi della luna.";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Eppoi stasera arriva Maurizio: bisogna essere alla villa!;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Saltò nella barca.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Don Francesco riprese il remo, ma sentiva qualcosa di pesante sul capo, uno strano malessere che gli toglieva tutte le forze;";no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Donna Anna scuoteva il suo ventaglio bianco a stecche di argento e guardava verso la riva ove sembravale veder Stella, ritta fra i cespugli, coi capelli fulvi e le vesti rosse svolazzanti al vento: bella come un piccolo angelo delle tempeste.;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Oh, quella piccina!;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Quella piccina!;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Stava per additarla a suo marito allorché un tuono fortissimo squarciò le nuvole e un gocciolone le cadde sulla piccola mano nuda.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Il marchese guardò con terrore la macchia che la goccia d’acqua aveva impresso sul raso del ventaglio e della mano, e apriva le labbra per esprimerlo quando la luce effimera delle nuvole rosse disparve e fra un buio d’inferno venne giù un terribile acquazzone, un diluvio universale.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Lampi di fuoco solcavano il cielo; i tuoni diventarono un continuo e fortissimo fragore; il vento impetuosissimo travolgeva la pioggia come tromba di sabbia.";no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;E tutto di repente, in un colpo, come sempre in estate. -;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Donna Anna mandò un grido, il marchese si vide perduto fra quel buio d’inferno.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;L’Agri è un fiume piccolo, ma così, fra la tempesta, ingrossato, intorbidato, stravolto, diventava un luogo di pericolo come gli altri.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Il vento e la corrente spingevano la piccola barca, e Don Francesco, cattivo rematore, che non si esercitava da venti anni, si sentiva impotente a guadagnare la riva, a mantenere in salvo la barca.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;La marchesa, fredda, inzuppata, sentivasi mancare, figurandosi di essere fra una terribile tempesta d’alto mare: un fulmine le cadde vicino: mandò un secondo grido e svenne.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Intanto la barca correva sempre, ballando, affondata a metà… Don Francesco ruggiva.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Non poteva abbandonare il remo ché sarebbero annegati e vedeva Donna Anna, là, stesa, stecchita come morta, in fondo alla barca, in un orribile bagno.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"E dire che si trovavano a due o tre metri dalla riva!
– Aiuto!";si;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Aiuto! – urlò il marchese.;si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Gli era sembrato, alla luce di un lampo, scorgere una barca in mezzo al fiume: ma non ricevé risposta.
– Aiuto!";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Aiuto!;si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Aiuto! – ripeté con angoscia.;si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Ma niente ancora… La sua voce perdevasi nel fragore della tempesta.;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"La barca affondava sempre: la marchesa non dava segno di vita, a Don Francesco sanguinavano le mani.
– Aiuto!";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Aiuto!;si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Aiuto!;si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Nulla!;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Allora lasciò il remo e prese sua moglie fra le braccia.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Il vortice che doveva inghiottirli aprivasi: la morte era lì, da un lato della loro barca ma dall’altro lato si avvicinò tosto una specie di battello da pesca e una voce gridò:
– Presto, signor marchese, saltate qui!…
Ei non vi saltò, vi si trascinò con sua moglie fra le braccia mentre la loro barca spariva fra le acque torbide dell’Agri.";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Il salvatore non disse nulla, ma contro corrente, riguadagnò vigorosamente la riva.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Era Stella!;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Nel rinvenire la marchesa si trovò in un piccolo letto, in una povera stanza dal soffitto di canne, e attraverso la porta aperta vide, sulla riva dell’Agri Stella che le rasciugava le vesti accanto a un gran fuoco.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Suo marito, ritto davanti a lei, pallido ancora, le bagnava le tempie con aceto.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Cessata la tempesta, sul cielo limpido apparivano le prime lucidità dell’alba che si confondevano con gli ultimi raggi della luna, e sino all’interno della capanna giungevano grandi flutti di profumi di campagne bagnate.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"L’Agri scorreva lento, un po’ grosso e torbido ancora, illuminato, davanti alla capanna, dai riflessi del fuoco di Stella; sulla riva la bambina, silenziosa, impassibile, la vesticciuola rossa bagnata e i capelli arruffati, rasciugava le vesti della marchesa, come se non capisse il grande atto che aveva fatto in quella notte… Donna Anna si ricordò subito di tutto.
– Chi ci ha salvato? – chiese al marchese.
– Stella! – rispose lui: la sua voce e le sue mani tremavano.";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Aveva forse freddo e febbre o era la riconoscenza che tanto lo commoveva?
– Stella!… – gridò la marchesa.";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;La pescatrice rientrò tosto e depose le vesti rasciugate sopra il letto.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Allora la marchesa le cinse il collo con le sue braccia eburnee e la baciò sulle gote esclamando:
– Grazie, figlia mia, grazie!";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Ci hai salvata la vita…
Ancora una volta il marchese sussultò.";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Il destino di Stella fu deciso: avrebbe abbandonato la capanna, la povera vita, e sarebbe andata coi d’Oriente, nella loro villa, come figlia…
Per tutto il resto della notte non si parlò d’altro; la marchesa non si ricordava neppure che Maurizio poteva essere giunto!";no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Ma Stella non acconsentiva!;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Voleva rimanere nella sua capanna, nella sua vita selvaggia, così libera e romantica!…
IV
Allora Donna Anna pensò di condurre la piccina alla villa e abbagliarla con lo splendore dei mobili, delle vesti e dei gioielli, con i cibi delicati e le delizie dei magnifici giardini di Mambrilla.
– Ecco – le disse – tu verrai quest’oggi almeno e pranzerai con noi.";si;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Stella acconsentì.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Al levarsi del sole s’avviarono alla Mambrilla, una deliziosa villa davvero, un piccolo castello bianco circondato da giardini, coperto di terrazzi da cui si godeva un esteso e vaghissimo panorama.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Maurizio, giunto da qualche ora, inquieto di non trovare i genitori alla villa - benché i domestici lo rassicurassero dicendoglieli partiti per Anglona senza aver detto se sarebbero tornati la stessa sera - al sorgere del sole uscì anch’egli verso l’Agri.;no;si;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Ma ben presto fermossi sul sentiero: guardando fissamente vedeva salire Donna Anna e il marchese, attraverso il sentiero che serpeggiava su, dall’Agri alla villa.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Erano a piedi, tutti indorati dai primi raggi del sole di una stupenda mattina profumata dagli olezzi della lussureggiante vegetazione irrorata dalla pioggia della notte, - il cielo profondamente azzurro a sfumature di metallo, - i paesaggi avvolti nel vaghissimo velo di nebbie vaporose, cerulee, colorate dal sole. -;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Rassicurato alla vista dei genitori,;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Maurizio sospirò, e fermandosi presso un rosaio selvatico, cosparso di goccioloni d’oro, spalancò sorridendo la bocca e le narici per respirare con voluttà l’aria balsamica di quel cielo che amava tanto, gettando intorno uno sguardo innamorato di artista. -;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;"Su, la Mambrilla biancheggiava fra la nebbia azzurra e le chiome scintillanti dei grandi alberi; giù l’Agri scorreva nel suo letto reso glauco dal riflesso del cielo e dal verde dei cespugli delle rive, le onde tiepide dai meandri d’argento scintillanti come perle al sole…
Nel mezzo…
– Oh! – fece Maurizio. – Chi è quella piccola cenciosa?";si;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Fra i suoi genitori Maurizio vedeva Stella che camminava a testa nuda, a piedi nudi, fiera nel suo abitino stracciato a riflessi di sangue.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Ma nel guardarla più attentamente, nel vederle i capelli strani che scintillavano contornando con una specie d’aureola il suo visino color d’oro, nell’esaminarle i piedini, le mani che parevano di statuina di porcellana cinese, imbrunita, ma lucente,;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Maurizio, come suo padre, come sua madre, trasalì involontariamente, si pentì del titolo che le aveva dato e si rimise a scendere… Sentite, egli andava incontro alla piccola sconosciuta, dimentico quasi di sua madre.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Incontratisi, donna Anna, dopo tutti gli abbracciamenti, gli presentò Stella raccontandogli in poche parole l’avvenuto della notte.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Il giovine si chinò e baciò la piccina meravigliato di trovarne la fronte fredda come il marmo e nello scorgere la triste ruga che vi si disegnava nel mezzo.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Intanto don Francesco, entusiasmato, raccontava le prodezze della piccola pescatrice… Qualche ora dopo Stella acconsentiva di rimanere presso i d’Oriente, ma a due condizioni: primo di lasciarle piena libertà: la barca, la pesca, la capanna intatte.;no;si;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Secondo di andarsene dalla villa quando le sarebbe piaciuto!;no;si;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Il progetto di donna Anna era dunque in qualche modo riuscito.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Stella, nella magnifica sala da pranzo, fra lo scintillio dei cristalli e delle argenterie, fra i profumi e i gusti delle delicate vivande, dei dolci, delle frutta, dei vini di cui non s’aveva neanche mai fatta un’idea, cominciò a tentennare… Poi quando la portarono attraverso i sontuosi appartamenti addobbati dalle artistiche tappezzerie di Beauvais, dalle alte specchiere veneziane, dai morbidi tappeti di Puchah, dai ricchi mobili alla Luigi XVI di velluto di Utrech e di legni orientali, dai quadri preziosi firmati da grandi artisti fiamminghi e italiani, da porcellane di Meiss e da tante altre belle cose,;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Stella pensò che là si stava meglio che nella sua capanna… Da ultimo, quando Maurizio presala per mano la portò in giardino, mostrandolene tutte le bellezze, e chiamandola a sua volta Carina, le promise tante cose purché rimanesse,;no;si;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Stella aveva finalmente ceduto!;no;no;si;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Donna Anna mandò una cameriera ad Anglona. -;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Ritornò con un completo abbigliamento per Stella, dalla camicia ricamata alle calze di seta, dall’abitino di velluto rosa e nero alle scarpine verniciate.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Prese Stella e la condusse nel suo appartamento, - una stanzina da letto che pareva una bomboniera di raso bianco a striscie azzurre, un salottino e lo spogliatojo con vasche di marmo giallo - la lavò tutta, la pettinò alla moda, la profumò, la vestì e la ricondusse dalla marchesa che l’attendeva in giardino dove avrebbero preso il caffè. -;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Nel collo di Stella la cameriera aveva visto un grande medaglione d’oro col ritratto di una donna: levatoselo prima di entrare nel bagno la piccina se lo aveva rimesso dopo, baciando religiosamente, traverso il vetro, il ritrattino.;no;no;no;no;
Deledda_Grazia-Stella_d_oriente-1890.txt;Finita la toeletta, cosa davvero strana,;no;no;si;no;
